time,quat_w_sensor1,quat_x_sensor1,quat_y_sensor1,quat_z_sensor1,quat_w_sensor2,quat_x_sensor2,quat_y_sensor2,quat_z_sensor2,quat_w_sensor3,quat_x_sensor3,quat_y_sensor3,quat_z_sensor3,quat_w_sensor4,quat_x_sensor4,quat_y_sensor4,quat_z_sensor4
1.31,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.9,0.29,0.32,0.06
1.32,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.9,0.29,0.33,0.07
1.34,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.07
1.35,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.07
1.36,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.29,0.34,0.08
1.37,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.29,0.34,0.08
1.38,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.4,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.41,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.43,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.44,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.47,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.48,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.49,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.51,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.53,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.54,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.55,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.56,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.34,0.08
1.59,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.33,0.08
1.6,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.33,0.08
1.63,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.33,0.08
1.64,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.33,0.08
1.66,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.33,0.08
1.67,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.33,0.08
1.68,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.33,0.08
1.69,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.33,0.08
1.7,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.32,0.08
1.71,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.32,0.08
1.72,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.32,0.09
1.73,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.3,0.32,0.09
1.74,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.31,0.32,0.09
1.76,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.31,0.32,0.09
1.77,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.31,0.32,0.09
1.79,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.31,0.32,0.09
1.8,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.31,0.32,0.09
1.81,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.31,0.32,0.1
1.82,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.31,0.32,0.1
1.83,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.89,0.31,0.32,0.1
