time,eul_z_sensor2,eul_y_sensor2,eul_x_sensor2,gyro_x_sensor2,gyro_y_sensor2,gyro_z_sensor2,linacc_x_sensor2,linacc_y_sensor2,linacc_z_sensor2,quat_w_sensor2,quat_x_sensor2,quat_y_sensor2,quat_z_sensor2
1.43,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.01,0.0,0.69,0.03,0.72,0.02
1.44,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.0,0.69,0.03,0.72,0.02
1.45,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.01,0.0,0.69,0.03,0.72,0.02
1.46,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.03,0.01,0.69,0.03,0.72,0.02
1.47,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
1.48,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
1.49,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.01,0.69,0.03,0.72,0.02
1.51,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.02,0.69,0.03,0.72,0.02
1.52,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
1.53,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.03,0.0,0.69,0.03,0.72,0.02
1.54,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.01,0.0,0.69,0.03,0.72,0.02
1.55,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
1.56,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.01,0.69,0.03,0.72,0.02
1.57,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
1.59,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.01,0.0,0.69,0.03,0.72,0.02
1.6,356.25,87.94,179.81,0.0,0.0,0.0,0.27,0.01,0.0,0.69,0.03,0.72,0.02
1.62,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
1.63,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
1.64,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
1.65,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.03,0.69,0.03,0.72,0.02
1.66,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
1.67,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.0,0.69,0.03,0.72,0.02
1.68,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.03,0.0,0.69,0.03,0.72,0.02
1.69,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.01,0.69,0.03,0.72,0.02
1.7,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
1.71,356.25,87.94,179.81,0.0,0.0,0.0,0.32,0.03,0.0,0.69,0.03,0.72,0.02
1.72,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
1.73,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.01,0.69,0.03,0.72,0.02
1.74,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.0,0.69,0.03,0.72,0.02
1.75,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
