0.22,-116.56,51.63,173.62,0.35,0.81,0.28,0.25,0.25,0.25,-108.37,89.37,179.63,0.17,0.49,0.11,0.42,0.0,0.32,-181.44,2.12,7.309999999999999,0.46,0.18,0.26,0.06,0.67,1.17,-144.37,35.94,18.75,0.18,0.19,0.07,0.27,0.46,0.65
0.23,-117.13,50.81,173.81,0.31,0.78,0.29,0.7,0.33,0.01,-108.44,89.12999999999998,179.69,0.18,0.57,0.13,0.41,0.02,0.23,-181.75,2.25,7.809999999999999,0.41,0.11,0.27,0.31,0.51,1.07,-144.25,36.25,19.0,0.25,0.26,0.1,0.2,0.46,0.89
0.24,-117.62,50.19,173.94,0.31,0.63,0.3,0.25,0.4,0.06,-108.5,88.43999999999998,179.87,0.19,0.65,0.14,0.46,0.07,0.14,-182.0,2.25,8.189999999999998,0.34,0.01,0.24,0.68,0.3,0.63,-144.25,36.63,19.31,0.41,0.34,0.23,0.3,0.4,0.8299999999999998
0.25,-118.06,49.56,174.12,0.29,0.57,0.36,0.9,0.43,0.29,-108.56,87.75,179.94,0.2,0.66,0.13,0.57,0.03,0.18,-182.62,2.31,9.13,0.45,0.1,0.32,0.63,0.4,0.36,-143.75,37.13,19.69,0.46,0.35,0.4,0.28,0.54,0.59
0.26,-118.62,48.94,174.31,0.38,0.66,0.31,1.13,0.4,0.61,-108.69,87.0,179.81,0.22,0.62,0.1,0.74,0.0899999999999999,0.1,-183.0,2.37,9.63,0.45,0.11,0.37,0.67,0.06,0.59,-143.25,37.69,19.81,0.44,0.33,0.51,0.33,0.38,0.61
0.27,-119.37,48.13,174.31,0.36,0.79,0.27,0.34,0.3,1.01,-109.06,85.68999999999998,179.63,0.29,0.6,0.1,0.51,0.13,0.28,-183.37,2.37,10.13,0.44,0.08,0.32,0.67,0.03,0.59,-142.56,38.19,20.0,0.5,0.25,0.5,1.2,0.13,0.4
0.28,-120.69,46.13,174.38,0.2,0.92,0.08,1.06,0.0899999999999999,0.74,-109.31,85.0,179.56,0.34,0.61,0.1,0.48,0.19,0.2,-183.69,2.44,10.69,0.48,0.0899999999999999,0.23,0.74,0.46,1.1,-141.69,38.63,20.19,0.61,0.13,0.64,0.49,0.47,0.64
0.29,-121.19,45.31,174.31,0.1,0.66,0.01,0.79,0.3,0.93,-110.19,83.81,179.5,0.51,0.54,0.01,0.32,0.61,0.01,-183.81,2.5,11.19,0.43,0.0899999999999999,0.13,0.81,0.54,1.54,-140.94,39.0,20.44,0.75,0.13,0.72,0.05,0.16,0.0899999999999999
0.3,-121.37,44.69,174.38,0.01,0.47,0.02,0.41,0.49,0.93,-110.88,83.25,179.56,0.59,0.5,0.02,0.48,0.57,0.6,-183.81,2.62,11.5,0.24,0.07,0.12,0.8,0.45,1.6,-139.75,39.56,20.62,0.68,0.26,0.88,0.15,0.55,0.53
0.31,-121.37,44.31,174.44,0.21,0.28,0.12,0.58,0.66,1.57,-111.62,82.56,176.56,0.67,0.63,0.1,0.63,0.64,0.34,-183.44,2.75,11.63,0.1,0.07,0.38,0.77,0.11,0.8399999999999999,-139.12,39.94,20.56,0.47,0.43,1.12,0.34,0.94,0.8399999999999999
0.32,-121.18,44.0,174.56,0.22,0.29,0.14,1.03,0.45,2.06,-112.25,81.75,176.75,0.6,0.76,0.0899999999999999,0.76,0.44,0.07,-182.94,2.94,11.69,0.06,0.13,0.44,0.79,0.05,0.59,-138.06,40.81,20.12,0.63,0.38,1.17,0.42,0.16,1.27
0.33,-120.93,43.63,174.69,0.22,0.33,0.14,1.21,0.03,1.56,-112.88,80.81,176.94,0.54,0.81,0.11,0.93,0.31,0.42,-182.44,3.25,11.69,0.0,0.17,0.49,0.4,0.39,0.13,-136.69,41.69,20.06,0.74,0.56,0.8299999999999998,0.05,0.8199999999999998,0.47
0.34,-120.68,43.13,174.87,0.3,0.53,0.15,1.05,0.33,1.21,-113.37,79.93999999999998,177.0,0.45,0.78,0.1,0.46,0.38,0.14,-181.87,3.62,11.56,0.11,0.21,0.58,0.11,0.91,0.81,-136.12,42.56,20.44,0.73,0.55,0.21,0.23,1.0,0.46
0.35,-120.37,42.5,175.12,0.34,0.57,0.11,1.37,0.23,0.01,-113.75,79.18999999999998,177.12,0.34,0.69,0.08,0.34,0.31,0.01,-181.25,4.0,11.25,0.23,0.25,0.59,0.13,0.92,0.96,-135.81,43.13,21.37,0.61,0.46,0.26,0.19,0.61,0.63
0.36,-120.18,41.81,175.56,0.4,0.79,0.0,0.69,0.14,0.08,-114.06,77.81,177.38,0.05,0.6,0.01,0.11,0.02,0.07,-180.81,4.31,11.0,0.22,0.24,0.37,0.74,0.04,0.03,-136.0,43.44,22.56,0.57,0.45,0.44,0.21,0.6,0.57
0.37,-120.06,40.88,176.06,0.3,0.89,0.0,0.31,0.75,0.52,-114.0,77.12,177.44,0.11,0.57,0.01,0.01,0.52,0.29,-180.12,5.12,10.75,0.07,0.31,0.36,0.64,0.27,1.28,-136.81,43.81,23.81,0.53,0.62,0.45,0.23,0.01,0.07
0.38,-120.06,39.94,176.12,0.04,0.78,0.01,0.01,1.46,1.02,-113.81,76.62,177.62,0.15,0.45,0.07,0.42,0.64,0.4,-179.81,5.56,10.56,0.17,0.32,0.29,0.39,0.94,0.39,-137.0,44.38,25.0,0.56,0.6,0.12,0.54,0.25,0.6
